"Visitor ID";"Event position";"Page - with levels";"Visitors"
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";27;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";28;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";29;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";30;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";31;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";32;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";33;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";34;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";35;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";36;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";37;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";38;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";39;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";40;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";41;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";42;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";43;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";44;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";45;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";46;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";47;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";48;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";49;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";50;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";51;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";52;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";53;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";54;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";55;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";56;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016B42DB577FE03059A5B6BD9B3A3025EEEDBECD";57;"products::software::hikcentral-professional-series::hikcentral-professional";1
"016E0A84E6E7387E1394F840965AE42EE110F811";1;"products::access-control-products::card-terminals::value-series|ds-k1t802e";1
"016E0A84E6E7387E1394F840965AE42EE110F811";1;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
"016E0A84E6E7387E1394F840965AE42EE110F811";2;"products::ip-products::network-cameras::pro-series-easyip-|ds-2cd2t43g2-2i-4i";1
